SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,REPORT_AS,EXTINCT,EXTINCT_YEAR
Melaenornis edolioides,Northern Black-Flycatcher,nobfly1,species,23403.0124,NOBF NBFL,MEED,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Melaenornis pammelaina,Southern Black-Flycatcher,sobfly1,species,23403.01315,SOBF SBFL,MEPA,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Melaenornis fischeri,White-eyed Slaty-Flycatcher,wheslf1,species,23403.0132,WESF,MEFI,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Melaenornis brunneus,Angola Slaty-Flycatcher,angslf1,species,23403.0135,ASFL ANSF,MEBR,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Melaenornis chocolatinus,Abyssinian Slaty-Flycatcher,abyslf1,species,23403.0139,ASFL ABSF,MECH,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Humblotia flavirostris,Grand Comoro Flycatcher,grcfly3,species,23403.014,HUFL GCFL,HUFL,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Alethe diademata,Fire-crested Alethe,ficale1,species,23403.0141,FCAL WTCA,ALDI,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Alethe diademata diademata,Fire-crested Alethe (White-tailed),ficale3,issf,23403.0142,FCAL WTAL WTCA,ALDI,,Passeriformes,Old World Flycatchers,Muscicapidae,ficale1,,
Alethe diademata castanea/woosnami,Fire-crested Alethe (Fire-crested),ficale2,issf,23403.0145,FCAL WTCA,ALDI,,Passeriformes,Old World Flycatchers,Muscicapidae,ficale1,,
Cercotrichas coryphoeus,Karoo Scrub-Robin,kasrob2,species,23403.0149,KSRO KASR,CECO,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Cercotrichas leucosticta,Forest Scrub-Robin,fosrob1,species,23403.01495,FOSR FSRO,CELE,,Passeriformes,Old World Flycatchers,Muscicapidae,,,
Cercotrichas leucosticta [leucosticta Group],Forest Scrub-Robin (Forest),forscr2,issf,23403.0153,FOSR FSRO,CELE,,Passeriformes,Old World Flycatchers,Muscicapidae,fosrob1,,
Cercotrichas leucosticta reichenowi,Forest Scrub-Robin (Huila),forscr3,issf,23403.0154,FOSR FSRO,CELE,,Passeriformes,Old World Flycatchers,Muscicapidae,fosrob1,,
