SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,ORDER
Xiphorhynchus guttatus,Buff-throated Woodcreeper,butwoo1,Passeriformes
Xiphorhynchus guttatus [guttatus Group],Buff-throated Woodcreeper (Buff-throated),butwoo2,Passeriformes
Xiphorhynchus guttatus guttatoides/dorbignyanus,Buff-throated Woodcreeper (Lafresnaye's),butwoo3,Passeriformes
Xiphorhynchus guttatus [eytoni Group],Buff-throated Woodcreeper (Dusky-billed),butwoo4,Passeriformes
Xiphorhynchus flavigaster,Ivory-billed Woodcreeper,ivbwoo1,Passeriformes
Xiphorhynchus lachrymosus,Black-striped Woodcreeper,blswoo1,Passeriformes
Xiphorhynchus erythropygius,Spotted Woodcreeper,spowoo1,Passeriformes
Xiphorhynchus erythropygius erythropygius/parvus,Spotted Woodcreeper (Spotted),spowoo2,Passeriformes
Xiphorhynchus erythropygius [aequatorialis Group],Spotted Woodcreeper (Berlepsch's),spowoo3,Passeriformes
Xiphorhynchus triangularis,Olive-backed Woodcreeper,olbwoo1,Passeriformes
Xiphorhynchus sp.,Xiphorhynchus sp.,xiphor1,Passeriformes
Dendroplex picus,Straight-billed Woodcreeper,stbwoo2,Passeriformes
Dendroplex kienerii,Zimmer's Woodcreeper,zimwoo2,Passeriformes
Dendroplex picus/kienerii,Straight-billed/Zimmer's Woodcreeper,y00706,Passeriformes
Campylorhamphus trochilirostris,Red-billed Scythebill,rebscy1,Passeriformes
Campylorhamphus falcularius,Black-billed Scythebill,blbscy1,Passeriformes
Campylorhamphus procurvoides,Curve-billed Scythebill,cubscy1,Passeriformes
Campylorhamphus procurvoides sanus,Curve-billed Scythebill (Zimmer's),cubscy2,Passeriformes
Campylorhamphus procurvoides procurvoides,Curve-billed Scythebill (Curve-billed),cubscy3,Passeriformes
Campylorhamphus procurvoides gyldenstolpei,Curve-billed Scythebill (Tupana),tupscy1,Passeriformes
Campylorhamphus procurvoides probatus,Curve-billed Scythebill (Rondonia),cubscy4,Passeriformes
Campylorhamphus procurvoides cardosoi,Curve-billed Scythebill (Tapajos),tapscy1,Passeriformes
Campylorhamphus procurvoides multostriatus,Curve-billed Scythebill (Snethlage's),cubscy5,Passeriformes
Campylorhamphus pusillus,Brown-billed Scythebill,brbscy1,Passeriformes
Campylorhamphus sp.,scythebill sp.,scythe1,Passeriformes
Drymotoxeres pucheranii,Greater Scythebill,grescy1,Passeriformes
Drymornis bridgesii,Scimitar-billed Woodcreeper,scbwoo4,Passeriformes
Lepidocolaptes souleyetii,Streak-headed Woodcreeper,sthwoo1,Passeriformes
Lepidocolaptes angustirostris,Narrow-billed Woodcreeper,nabwoo1,Passeriformes
Lepidocolaptes leucogaster,White-striped Woodcreeper,whswoo1,Passeriformes
Lepidocolaptes affinis,Spot-crowned Woodcreeper,spcwoo1,Passeriformes
Lepidocolaptes affinis affinis/lignicida,Spot-crowned Woodcreeper (Northern),spcwoo4,Passeriformes
Lepidocolaptes affinis neglectus,Spot-crowned Woodcreeper (Southern),spcwoo5,Passeriformes
Lepidocolaptes lacrymiger,Montane Woodcreeper,monwoo1,Passeriformes
Lepidocolaptes squamatus,Scaled Woodcreeper,scawoo1,Passeriformes
