Scientific_Name,Common_Name,Common_Name2,Species_Code,Order,Audio_URL,Image_URL,Link_URL,us
Francolinus francolinus,Black francolin,Black francolin,blkfra,Galliformes,no audio,//upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Black_Francolin.jpg/220px-Black_Francolin.jpg,https://en.wikipedia.org/wiki/Black_francolin,1
Cepphus grylle,Black guillemot,Black guillemot,blkgui,Charadriiformes,https://s3.amazonaws.com/com-aab-media/sound/522231.mp3,s3.amazonaws.com/com-aab-media/photo/75216211-1280px.jpg,https://www.allaboutbirds.org/guide/Black_guillemot,1
Milvus migrans,Black kite,Black kite,blakit1,Accipitriformes,no audio,//upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Schwarzmilan.jpg/220px-Schwarzmilan.jpg,https://en.wikipedia.org/wiki/Black_kite,1
Drepanis funerea,Black mamo,Black mamo,blkmam,Passeriformes,no audio,no image,https://www.hbw.com/species/black-mamo-drepanis-funerea#Descriptive_notes,1
Anous minutus,Black noddy,Black noddy,blknod,Charadriiformes,no audio,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/1675_black_noddy_anous_minutus_tench_island_papua_new_guinea_20140713_1_1000.jpg?itok=Em2pTx7P,https://www.hbw.com/species/black-noddy-anous-minutus#Taxonomy,1
Haematopus bachmani,Black oystercatcher,Black oystercatcher,blkoys,Charadriiformes,https://s3.amazonaws.com/com-aab-media/sound/522123.mp3,s3.amazonaws.com/com-aab-media/photo/75264581-1280px.jpg,https://www.allaboutbirds.org/guide/Black_oystercatcher,1
Sayornis nigricans,Black phoebe,Black phoebe,blkpho,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/522565.mp3,s3.amazonaws.com/com-aab-media/photo/75264961-1280px.jpg,https://www.allaboutbirds.org/guide/Black_phoebe,1
Laterallus jamaicensis,Black rail,Black rail,blkrai,Gruiformes,https://s3.amazonaws.com/com-aab-media/sound/522088.mp3,s3.amazonaws.com/com-aab-media/photo/75226851-1280px.jpg,https://www.allaboutbirds.org/guide/Black_rail,1
Melanitta americana,Black Scoter,Black scoter,blksco2,Anseriformes,https://s3.amazonaws.com/com-aab-media/sound/521886.mp3,s3.amazonaws.com/com-aab-media/photo/75265201-1280px.jpg,https://www.allaboutbirds.org/guide/Black_Scoter,1
Rynchops niger,Black skimmer,Black skimmer,blkski,Charadriiformes,https://s3.amazonaws.com/com-aab-media/sound/522307.mp3,s3.amazonaws.com/com-aab-media/photo/75265311-1280px.jpg,https://www.allaboutbirds.org/guide/Black_skimmer,1
